"EmployeeID","Age","Attrition","BusinessTravel","Department","DistanceFromHome","Education","EducationField","EmployeeCount","Gender","JobLevel","JobRole","MaritalStatus","MonthlyIncome","NumCompaniesWorked","Over18","PercentSalaryHike","StandardHours","StockOptionLevel","TotalWorkingYears","TrainingTimesLastYear","YearsAtCompany","YearsSinceLastPromotion","YearsWithCurrManager","EnvironmentSatisfaction","JobSatisfaction","WorkLifeBalance","JobInvolvement","PerformanceRating","Avg_Daily_Hours","Avg_Weekly_Hours","Days_off"
11,45,"No","Travel_Rarely","Research & Development",17,2,"Medical",1,"Male",2,"Laboratory Technician","Married",79910,0,"Y",13,8,2,21,2,20,4,10,3,4,3,2,3,8.403485,38.89171569,8
12,36,"No","Travel_Rarely","Research & Development",28,1,"Life Sciences",1,"Male",1,"Laboratory Technician","Married",33770,0,"Y",12,8,2,16,2,15,10,11,NA,4,3,3,3,7.068955,32.86099673,8
13,55,"No","Travel_Rarely","Research & Development",14,4,"Life Sciences",1,"Female",1,"Sales Executive","Single",55380,0,"Y",17,8,0,37,2,36,4,13,4,1,3,3,3,9.30141,41.03068627,20
14,47,"Yes","Non-Travel","Research & Development",1,1,"Medical",1,"Male",1,"Research Scientist","Married",57620,1,"Y",11,8,2,10,4,10,9,9,1,2,2,2,3,9.399931,42.39904684,14
15,28,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",1,"Manufacturing Director","Married",25920,1,"Y",14,8,0,5,2,5,0,4,4,4,2,3,3,6.089688,28.17087691,8
16,37,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",2,"Healthcare Representative","Married",53460,4,"Y",11,8,0,7,2,5,0,1,3,4,4,3,3,6.705175,30.50958061,12
17,21,"No","Travel_Rarely","Research & Development",3,2,"Life Sciences",1,"Male",1,"Laboratory Technician","Single",42130,1,"Y",12,8,3,3,3,3,1,0,4,3,4,2,3,6.619041,28.82059368,22
18,37,"No","Non-Travel","Research & Development",1,3,"Medical",1,"Male",2,"Sales Executive","Divorced",41270,2,"Y",13,8,1,15,2,5,0,2,1,4,3,3,3,11.014328,52.02648148,3
19,35,"No","Travel_Rarely","Sales",7,4,"Life Sciences",1,"Male",1,"Sales Representative","Divorced",24380,7,"Y",16,8,0,10,5,7,6,2,2,2,2,2,3,6.960254,30.96194444,17
20,38,"No","Travel_Rarely","Research & Development",8,3,"Life Sciences",1,"Female",1,"Manager","Divorced",68700,1,"Y",11,8,1,8,5,8,7,7,1,1,3,3,3,9.293556,41.18413399,18
21,26,"No","Travel_Frequently","Research & Development",1,4,"Other",1,"Male",2,"Laboratory Technician","Divorced",104470,1,"Y",18,8,0,6,3,6,1,4,3,2,1,3,3,7.590778,33.79848584,17
22,50,"No","Travel_Rarely","Sales",8,4,"Life Sciences",1,"Male",1,"Research Scientist","Divorced",96670,3,"Y",23,8,0,28,2,10,1,6,1,2,2,2,4,6.008613,27.09705338,16
23,53,"No","Travel_Rarely","Research & Development",11,4,"Life Sciences",1,"Female",2,"Research Scientist","Married",21480,3,"Y",11,8,0,21,2,5,1,3,3,3,2,3,3,8.402108,37.39053922,17
24,42,"No","Travel_Rarely","Research & Development",4,4,"Life Sciences",1,"Male",1,"Manufacturing Director","Married",89260,1,"Y",14,8,0,NA,4,20,11,6,2,3,3,1,3,6.807005,31.6144281,7
25,29,"No","Travel_Frequently","Research & Development",16,4,"Medical",1,"Male",1,"Laboratory Technician","Single",65130,1,"Y",11,8,1,10,2,10,0,9,2,4,2,3,3,7.093167,31.55802832,18
26,55,"No","Travel_Rarely","Research & Development",1,4,"Other",1,"Female",1,"Research Scientist","Married",67990,3,"Y",11,8,0,12,2,10,0,8,2,4,3,3,3,9.362002,43.3437854,8
27,26,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences",1,"Female",1,"Manager","Married",162910,1,"Y",22,8,0,5,3,5,3,3,1,1,3,3,4,10.977123,50.35223856,10
28,37,"No","Travel_Rarely","Sales",5,1,"Marketing",1,"Male",1,"Research Scientist","Single",27050,1,"Y",11,8,0,17,2,17,5,7,4,4,3,3,3,7.604444,34.42020697,13
29,44,"Yes","Travel_Frequently","Research & Development",1,2,"Medical",1,"Male",2,"Research Scientist","Divorced",103330,3,"Y",14,8,1,19,2,1,0,0,4,3,1,2,3,10.977586,51.21354575,6
30,38,"No","Travel_Rarely","Sales",2,3,"Marketing",1,"Female",1,"Manager","Divorced",44480,9,"Y",12,8,0,10,3,2,1,2,4,4,3,2,3,6.831275,30.30344227,19
31,26,"Yes","Travel_Rarely","Research & Development",4,3,"Medical",1,"Male",3,"Research Scientist","Divorced",68540,2,"Y",11,8,0,5,5,3,0,2,1,2,3,2,3,10.109408,46.18974946,11
32,28,"No","Travel_Rarely","Research & Development",7,3,"Other",1,"Male",1,"Human Resources","Single",96370,1,"Y",13,8,0,5,6,5,0,2,4,4,3,2,3,6.709666,31.16404684,7
33,49,"No","Travel_Frequently","Research & Development",1,1,"Medical",1,"Female",2,"Research Scientist","Single",35910,9,"Y",13,8,0,22,2,3,1,2,3,1,3,3,3,10.518215,47.22418845,15
34,36,"No","Travel_Rarely","Sales",5,3,"Technical Degree",1,"Male",3,"Sales Executive","Single",54050,4,"Y",14,8,0,10,2,8,7,7,3,2,3,3,3,6.182888,28.84418845,6
35,31,"No","Travel_Frequently","Research & Development",9,4,"Medical",1,"Male",1,"Sales Executive","Divorced",46840,1,"Y",16,8,1,2,4,2,2,2,4,2,2,3,3,6.586389,30.36239107,9
36,26,"Yes","Travel_Rarely","Research & Development",8,3,"Medical",1,"Male",2,"Manager","Single",157870,1,"Y",12,8,2,8,5,8,7,4,4,4,3,3,3,10.272241,46.1356427,17
37,37,"No","Travel_Frequently","Sales",9,1,"Marketing",1,"Male",1,"Laboratory Technician","Married",15140,1,"Y",14,8,0,4,3,4,1,2,2,4,2,3,3,9.982733,46.39238017,7
38,42,"No","Travel_Frequently","Sales",2,2,"Marketing",1,"Male",3,"Research Director","Married",29560,5,"Y",13,8,0,23,2,20,4,8,3,2,4,3,3,5.979568,26.49114379,19
39,18,"Yes","Travel_Rarely","Research & Development",1,4,"Life Sciences",1,"Male",1,"Sales Executive","Single",23350,1,"Y",14,8,2,0,3,0,0,0,3,3,3,2,3,6.775968,29.49576797,22
40,35,"No","Travel_Rarely","Sales",20,2,"Life Sciences",1,"Male",1,"Laboratory Technician","Married",51540,0,"Y",19,8,0,12,2,11,6,9,3,2,2,2,3,7.69016,35.30721678,10
41,36,"No","Travel_Frequently","Research & Development",8,3,"Other",1,"Female",3,"Sales Executive","Married",69620,4,"Y",12,8,2,4,2,1,0,0,3,NA,3,2,3,7.204732,33.7538671,5
42,51,"No","Travel_Rarely","Research & Development",2,3,"Life Sciences",1,"Male",2,"Laboratory Technician","Divorced",56750,5,"Y",13,8,0,13,2,4,1,2,4,2,3,2,3,7.59477,34.25171569,14
43,41,"No","Travel_Rarely","Research & Development",29,1,"Life Sciences",1,"Male",1,"Laboratory Technician","Single",23790,1,"Y",12,8,0,22,6,22,0,4,4,2,3,3,3,6.952642,32.30512527,7
44,18,"No","Travel_Rarely","Sales",7,3,"Life Sciences",1,"Male",1,"Research Scientist","Single",38120,1,"Y",15,8,0,0,3,0,0,0,4,3,3,3,3,7.008878,32.43698802,9
45,28,"No","Travel_Rarely","Research & Development",9,3,"Medical",1,"Male",1,"Sales Representative","Single",46480,0,"Y",23,8,2,9,2,8,0,7,2,1,3,2,4,7.201573,33.74479303,5
46,31,"No","Travel_Rarely","Research & Development",8,1,"Technical Degree",1,"Male",1,"Manufacturing Director","Married",29360,4,"Y",12,8,1,10,2,8,7,7,2,4,2,3,3,7.172875,33.02808279,9
47,39,"No","Travel_Rarely","Sales",5,4,"Marketing",1,"Female",2,"Human Resources","Divorced",21050,0,"Y",20,8,0,19,3,18,3,7,3,4,2,3,4,7.636801,34.45016885,14
48,36,"No","Non-Travel","Research & Development",5,4,"Life Sciences",1,"Male",1,"Sales Executive","Married",85780,7,"Y",21,8,0,11,4,9,0,8,2,2,3,3,4,7.832781,35.64782135,12
49,32,"No","Travel_Rarely","Sales",2,3,"Marketing",1,"Male",2,"Laboratory Technician","Married",27060,1,"Y",21,8,1,13,4,13,4,8,4,3,2,3,4,6.974765,30.36192266,22
50,38,"No","Travel_Rarely","Research & Development",5,2,"Life Sciences",1,"Female",3,"Research Scientist","Married",63840,3,"Y",19,8,2,19,4,10,0,1,1,2,3,2,3,6.906424,30.30705338,21
51,58,"No","Non-Travel","Research & Development",2,3,"Life Sciences",1,"Male",2,"Manufacturing Director","Divorced",39680,2,"Y",13,8,2,12,3,5,1,2,4,3,3,2,3,10.895464,50.61713508,7
52,31,"No","Travel_Rarely","Research & Development",20,1,"Technical Degree",1,"Female",3,"Research Scientist","Married",99070,0,"Y",13,8,1,6,3,5,0,3,3,4,3,2,3,9.125666,41.50459695,12
53,31,"No","Travel_Rarely","Sales",7,4,"Marketing",1,"Male",2,"Sales Executive","Married",132250,3,"Y",21,8,1,9,2,2,1,0,1,1,3,3,4,6.83146,31.32847495,10
54,45,"No","Travel_Frequently","Research & Development",3,1,"Medical",1,"Female",1,"Sales Executive","Divorced",35400,1,"Y",13,8,0,24,6,24,9,11,1,1,3,3,3,7.31605,33.1237854,13
55,31,"No","Travel_Rarely","Sales",16,4,"Marketing",1,"Female",2,"Research Scientist","Divorced",28040,0,"Y",19,8,2,3,0,2,2,2,3,4,1,3,3,8.610798,40.33487473,5
56,33,"No","Travel_Frequently","Research & Development",9,3,"Life Sciences",1,"Male",4,"Research Director","Married",193920,6,"Y",12,8,1,12,3,10,8,8,4,2,3,3,3,6.784845,31.01138344,12
57,39,"No","Travel_Rarely","Sales",1,4,"Life Sciences",1,"Male",1,"Sales Executive","Married",196650,1,"Y",22,8,1,21,6,21,11,10,3,1,3,3,4,10.9861,51.68630174,4
58,43,"No","Travel_Frequently","Research & Development",7,4,"Medical",1,"Male",4,"Research Scientist","Single",24390,0,"Y",15,8,0,9,2,8,1,7,3,4,3,3,3,7.686585,33.45582789,22
59,49,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",3,"Manufacturing Director","Single",73140,7,"Y",22,8,0,25,2,7,0,7,3,3,3,3,4,9.948857,46.45409041,6
60,52,"Yes","Travel_Rarely","Research & Development",7,1,"Life Sciences",1,"Female",2,"Research Scientist","Married",47740,2,"Y",18,8,1,11,2,8,7,7,3,2,2,3,3,7.905528,36.25627996,10
61,27,"No","Travel_Rarely","Research & Development",15,4,"Medical",1,"Male",3,"Research Scientist","Single",39020,1,"Y",22,8,0,4,2,4,1,2,3,2,2,3,4,10.672415,50.01749455,5
62,32,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",3,"Research Scientist","Married",26620,1,"Y",11,8,1,13,6,13,11,9,3,2,3,4,3,10.496172,48.16330065,10
63,27,"No","Travel_Rarely","Research & Development",13,2,"Medical",1,"Female",4,"Research Director","Single",28560,1,"Y",12,8,2,5,5,5,0,4,4,3,3,4,3,10.069262,44.62662854,18
64,31,"No","Travel_Rarely","Sales",24,3,"Life Sciences",1,"Male",2,"Healthcare Representative","Divorced",10810,4,"Y",11,8,3,13,4,7,1,7,4,4,3,4,3,6.607014,30.83988562,6
65,32,"No","Travel_Rarely","Research & Development",7,3,"Technical Degree",1,"Male",2,"Healthcare Representative","Single",24720,7,"Y",13,8,0,10,2,7,0,7,1,4,2,3,3,7.497915,34.1197549,12
66,28,"Yes","Travel_Rarely","Research & Development",9,4,"Medical",1,"Male",1,"Sales Executive","Married",56730,5,"Y",14,8,1,5,4,3,2,2,1,4,2,2,3,10.727236,50.90559913,2
67,30,"No","Travel_Rarely","Research & Development",13,3,"Life Sciences",1,"Female",4,"Research Director","Married",41970,1,"Y",13,8,0,11,3,10,1,9,4,4,3,3,3,6.184817,27.54487473,17
68,31,"No","Travel_Frequently","Research & Development",2,1,"Life Sciences",1,"Female",1,"Manager","Married",97130,1,"Y",17,8,0,10,5,10,8,9,3,3,3,2,3,6.6093,28.79393791,22
69,39,"No","Travel_Frequently","Research & Development",19,4,"Medical",1,"Female",1,"Research Scientist","Married",20620,1,"Y",13,8,0,21,4,21,13,3,3,4,3,3,3,6.076246,26.56309913,21
70,39,"Yes","Travel_Rarely","Research & Development",1,1,"Medical",1,"Female",1,"Laboratory Technician","Married",42840,4,"Y",17,8,1,12,0,1,0,0,4,3,2,3,3,9.971746,47.1392756,3
71,33,"No","Travel_Frequently","Sales",4,2,"Life Sciences",1,"Male",4,"Research Scientist","Single",47880,3,"Y",11,8,1,9,0,7,0,1,2,4,2,3,3,7.421452,34.47572985,7
72,47,"No","Travel_Rarely","Research & Development",4,3,"Life Sciences",1,"Female",2,"Healthcare Representative","Married",59060,4,"Y",23,8,0,21,4,3,1,1,4,3,3,4,4,6.49381,30.29502179,6
73,43,"No","Travel_Frequently","Research & Development",14,3,"Medical",1,"Female",5,"Research Director","Divorced",38860,1,"Y",17,8,2,9,2,9,0,0,3,3,4,3,3,6.29947,28.39348584,14
74,27,"No","Non-Travel","Research & Development",2,3,"Life Sciences",1,"Male",1,"Research Director","Married",168230,0,"Y",17,8,0,6,3,5,1,4,3,2,3,3,3,9.316973,41.2779793,18
75,54,"No","Travel_Frequently","Research & Development",1,4,"Life Sciences",1,"Male",2,"Research Scientist","Single",29330,3,"Y",12,8,2,20,2,4,0,3,4,3,2,3,3,6.097863,27.27087691,17
76,43,"No","Travel_Rarely","Research & Development",7,2,"Life Sciences",1,"Female",2,"Manager","Married",65000,8,"Y",23,8,0,10,3,1,0,0,3,1,2,3,4,7.217327,32.98216231,11
77,45,"No","Travel_Rarely","Sales",3,1,"Marketing",1,"Female",1,"Sales Executive","Married",171740,9,"Y",14,8,1,12,6,10,9,8,4,4,3,3,3,7.10007,32.95815904,7
78,40,"No","Travel_Rarely","Research & Development",2,4,"Other",1,"Male",4,"Research Scientist","Married",50330,2,"Y",14,8,2,6,6,4,0,2,2,4,2,3,3,9.914108,43.91364379,18
79,29,"Yes","Travel_Rarely","Research & Development",29,3,"Medical",1,"Female",1,"Research Scientist","Married",23070,1,"Y",13,8,1,7,0,7,0,7,2,1,2,3,3,10.477789,46.41451525,19
80,29,"No","Travel_Rarely","Human Resources",8,3,"Medical",1,"Male",3,"Sales Representative","Single",25870,0,"Y",22,8,2,4,3,3,2,2,2,4,3,3,4,6.906939,31.68114379,10
81,30,"No","Travel_Rarely","Research & Development",10,3,"Life Sciences",1,"Male",2,"Research Scientist","Divorced",55070,1,"Y",12,8,2,10,2,10,1,2,4,3,3,2,3,7.589092,33.7877342,17
82,27,"No","Travel_Rarely","Research & Development",11,2,"Medical",1,"Male",1,"Manager","Married",43930,1,"Y",18,8,1,8,2,8,0,7,2,2,3,2,3,6.079724,28.47720044,5
83,37,"No","Travel_Rarely","Sales",1,4,"Life Sciences",1,"Male",2,"Healthcare Representative","Divorced",133480,7,"Y",14,8,0,8,4,6,0,4,4,4,2,3,3,6.001112,27.31175381,13
84,38,"No","Travel_Rarely","Research & Development",28,4,"Medical",1,"Male",1,"Laboratory Technician","Divorced",65830,0,"Y",12,8,0,12,1,11,2,9,3,4,3,3,3,8.983123,41.90876362,7
85,31,"No","Travel_Rarely","Research & Development",6,3,"Medical",1,"Female",3,"Manager","Single",81030,1,"Y",15,8,1,11,5,11,4,10,3,4,NA,3,3,10.426185,47.62333333,11
86,29,"No","Travel_Rarely","Research & Development",3,4,"Life Sciences",1,"Male",3,"Sales Executive","Divorced",39780,1,"Y",11,8,0,7,0,7,1,7,4,2,3,3,3,8.387526,39.30877451,5
87,35,"No","Travel_Rarely","Sales",16,2,"Technical Degree",1,"Male",3,"Manager","Single",25440,0,"Y",13,8,1,17,3,16,0,13,3,2,3,4,3,7.912039,35.37701525,16
88,23,"No","Travel_Rarely","Research & Development",20,4,"Life Sciences",1,"Male",1,"Manufacturing Director","Divorced",53990,1,"Y",23,8,0,4,2,4,0,2,3,4,2,2,4,7.105292,32.32069717,12
89,41,"No","Travel_Rarely","Research & Development",9,2,"Life Sciences",1,"Female",1,"Laboratory Technician","Single",54870,6,"Y",19,8,2,8,0,5,1,2,4,2,3,3,3,9.688633,44.62706427,10
90,47,"No","Travel_Frequently","Sales",1,3,"Medical",1,"Female",2,"Laboratory Technician","Single",68340,3,"Y",16,8,1,5,2,0,0,0,2,3,3,4,3,7.770348,35.63924837,10
91,42,"No","Travel_Rarely","Research & Development",3,4,"Life Sciences",1,"Male",1,"Manager","Single",10910,2,"Y",22,8,0,16,0,1,0,0,1,4,3,1,4,6.28428,28.60155229,12
92,29,"No","Non-Travel","Sales",22,4,"Marketing",1,"Male",2,"Human Resources","Married",57360,1,"Y",22,8,0,4,1,4,0,2,4,3,2,2,4,6.306109,28.20293573,16
93,42,"No","Travel_Rarely","Sales",7,4,"Medical",1,"Male",3,"Research Scientist","Divorced",22260,0,"Y",12,8,1,4,3,3,1,0,3,3,3,2,3,8.831585,38.80211874,21
94,32,"No","Travel_Rarely","Research & Development",2,3,"Medical",1,"Male",2,"Research Scientist","Married",57470,1,"Y",13,8,0,8,0,8,0,7,3,2,3,3,3,7.722377,34.36669935,18
95,48,"No","Travel_Rarely","Sales",13,4,"Medical",1,"Male",4,"Sales Executive","Married",98540,3,"Y",16,8,1,15,2,0,0,0,1,3,1,2,3,7.31748,32.85298475,16
96,37,"No","Travel_Rarely","Research & Development",8,5,"Technical Degree",1,"Male",2,"Manufacturing Director","Divorced",54670,4,"Y",12,8,0,13,2,7,6,7,3,1,3,3,3,10.798262,51.24876362,2
97,30,"No","Non-Travel","Sales",25,4,"Other",1,"Male",1,"Healthcare Representative","Married",53800,7,"Y",21,8,1,4,0,2,2,2,4,3,4,3,4,10.401364,48.96132353,4
98,26,"No","Travel_Rarely","Sales",28,3,"Medical",1,"Female",5,"Laboratory Technician","Married",51510,1,"Y",15,8,3,8,3,8,7,7,3,3,3,3,3,5.994327,27.96300654,6
99,42,"No","Travel_Rarely","Sales",2,2,"Medical",1,"Female",1,"Laboratory Technician","Single",21330,3,"Y",13,8,2,14,2,1,0,0,1,4,3,3,3,6.11311,28.06624183,10
100,21,"Yes","Travel_Frequently","Research & Development",9,3,"Medical",1,"Female",4,"Manufacturing Director","Single",178750,1,"Y",12,8,0,3,5,3,1,2,1,2,3,2,3,8.133578,38.13071351,5
101,36,"No","Non-Travel","Human Resources",28,3,"Human Resources",1,"Male",2,"Laboratory Technician","Single",24320,4,"Y",22,8,0,7,4,1,0,0,4,4,3,1,4,7.306165,32.66623638,17
102,36,"No","Travel_Frequently","Research & Development",6,3,"Life Sciences",1,"Female",2,"Research Scientist","Married",47710,4,"Y",13,8,1,16,2,13,1,12,1,4,3,3,3,7.10503,32.46778867,11
103,57,"No","Travel_Rarely","Research & Development",21,4,"Life Sciences",1,"Male",5,"Research Scientist","Married",191610,2,"Y",18,8,0,15,2,3,1,2,4,3,3,1,3,6.327729,28.53534858,14
104,40,"No","Travel_Rarely","Research & Development",8,3,"Other",1,"Male",2,"Sales Executive","Married",50870,3,"Y",14,8,1,10,3,7,1,7,4,3,3,3,3,8.128512,36.33285403,16
105,21,"No","Non-Travel","Research & Development",1,5,"Life Sciences",1,"Female",2,"Manager","Single",28630,1,"Y",14,8,0,3,2,3,2,2,1,4,2,1,3,7.986433,35.23078431,20
106,33,"Yes","Travel_Rarely","Human Resources",28,2,"Human Resources",1,"Female",5,"Manager","Single",55610,1,"Y",21,8,1,1,3,1,0,0,4,3,3,1,4,10.509097,46.56755991,18
107,37,"No","Travel_Rarely","Research & Development",5,3,"Life Sciences",1,"Male",4,"Research Scientist","Married",21440,6,"Y",19,8,0,17,3,5,0,3,3,1,3,4,3,7.993284,35.44446623,18
108,46,"No","Non-Travel","Sales",2,4,"Marketing",1,"Female",2,"Laboratory Technician","Married",30650,2,"Y",11,8,0,7,3,1,0,0,3,3,4,3,3,6.103654,26.68131264,21
109,41,"Yes","Travel_Frequently","Research & Development",16,1,"Medical",1,"Female",1,"Research Scientist","Single",28100,1,"Y",11,8,0,8,3,8,7,7,1,2,3,4,3,7.587909,33.95269608,16
110,50,"No","Travel_Rarely","Research & Development",9,3,"Medical",1,"Female",3,"Laboratory Technician","Single",98880,6,"Y",15,8,0,20,2,4,1,3,4,4,3,3,3,6.890321,30.51216231,19
111,40,"Yes","Travel_Rarely","Research & Development",8,3,"Medical",1,"Female",1,"Healthcare Representative","Married",86280,2,"Y",20,8,0,8,2,6,1,0,3,3,3,2,4,9.296,41.916122,15
112,31,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Male",4,"Human Resources","Single",28670,0,"Y",24,8,0,3,5,2,2,2,NA,2,3,3,4,10.806078,51.28735294,3
113,21,"Yes","Travel_Rarely","Human Resources",10,2,"Human Resources",1,"Male",1,"Laboratory Technician","Single",53730,1,"Y",12,8,1,1,2,1,0,0,3,2,3,3,3,5.99522,26.44099129,19
114,29,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Female",2,"Research Director","Single",66670,9,"Y",12,8,1,6,6,3,1,2,4,4,3,4,3,7.78861,36.64557734,4
115,35,"No","Travel_Rarely","Research & Development",29,3,"Life Sciences",1,"Female",3,"Sales Executive","Single",50030,9,"Y",15,8,0,10,2,1,0,0,3,2,3,3,3,7.717707,34.96905229,13
116,27,"No","Travel_Rarely","Sales",2,3,"Life Sciences",1,"Male",1,"Sales Executive","Divorced",23670,NA,"Y",12,8,1,5,2,5,0,4,4,2,3,3,3,6.18945,28.04668301,15
117,28,"No","Travel_Rarely","Research & Development",2,2,"Medical",1,"Male",3,"Manager","Single",28580,1,"Y",12,8,0,7,2,7,0,7,2,4,3,2,3,7.120614,31.68586057,17
118,49,"No","Travel_Rarely","Sales",2,3,"Technical Degree",1,"Male",2,"Manufacturing Director","Single",52040,8,"Y",14,8,1,26,3,5,0,0,2,3,3,3,3,7.825193,36.04465142,9
119,51,"No","Travel_Rarely","Research & Development",1,2,"Life Sciences",1,"Male",1,"Sales Executive","Married",41050,4,"Y",22,8,1,18,2,7,0,7,3,4,2,3,4,7.619402,33.301378,21
120,36,"No","Travel_Rarely","Sales",15,2,"Life Sciences",1,"Male",1,"Sales Executive","Married",96790,4,"Y",12,8,0,6,1,2,2,2,4,3,3,3,3,6.002463,26.9452451,15
121,34,"Yes","Non-Travel","Research & Development",7,3,"Life Sciences",1,"Male",1,"Sales Representative","Single",56170,8,"Y",25,8,1,9,3,5,0,4,1,4,2,3,4,9.113126,41.26325708,14
122,55,"No","Travel_Rarely","Sales",26,3,"Marketing",1,"Male",1,"Laboratory Technician","Single",104480,2,"Y",13,8,0,30,3,5,1,2,3,4,3,3,3,8.68414,39.3252451,13
123,24,"No","Travel_Rarely","Research & Development",1,3,"Life Sciences",1,"Female",5,"Manager","Divorced",28970,1,"Y",18,8,3,5,4,5,0,3,4,3,4,3,3,9.993132,44.07301743,19
124,30,"No","Travel_Rarely","Research & Development",3,3,"Life Sciences",1,"Female",2,"Manager","Married",59680,1,"Y",13,8,0,1,3,1,0,0,3,2,3,3,3,6.90054,30.59388344,18
125,26,"Yes","Travel_Frequently","Sales",14,3,"Life Sciences",1,"Male",2,"Manager","Single",75100,0,"Y",18,8,3,7,3,6,0,4,3,NA,3,3,3,6.999358,32.25408497,9
126,22,"No","Travel_Rarely","Research & Development",16,5,"Other",1,"Male",1,"Research Scientist","Married",29910,1,"Y",19,8,2,2,3,2,1,2,1,2,3,2,3,6.28623,27.8412037,18
127,36,"No","Travel_Rarely","Research & Development",1,3,"Medical",1,"Female",5,"Healthcare Representative","Married",196360,1,"Y",12,8,1,10,3,10,9,0,2,3,3,3,3,6.366151,28.83603486,13
128,30,"Yes","Travel_Frequently","Sales",3,2,"Marketing",1,"Male",3,"Research Scientist","Single",11290,9,"Y",19,8,0,3,2,1,0,0,3,4,3,2,3,8.191661,37.90998911,9
129,37,"No","Travel_Rarely","Research & Development",10,1,"Technical Degree",1,"Male",1,"Sales Executive","Divorced",133410,1,"Y",14,8,1,18,3,18,12,17,4,1,2,3,3,6.452089,29.69753813,9
130,40,"No","Travel_Rarely","Research & Development",6,2,"Medical",1,"Male",3,"Research Scientist","Divorced",43320,7,"Y",14,8,2,8,3,5,1,3,4,2,3,2,3,6.682987,29.48561002,19
131,42,"No","Travel_Rarely","Research & Development",2,3,"Medical",1,"Female",4,"Manager","Divorced",110310,3,"Y",12,8,1,8,2,5,1,2,2,1,3,2,3,7.482648,33.74928649,14
132,37,"No","Travel_Rarely","Sales",9,1,"Marketing",1,"Male",3,"Sales Executive","Single",44400,2,"Y",11,8,1,18,3,1,0,1,3,2,2,2,3,9.920132,46.68802832,4
133,43,"No","Travel_Rarely","Sales",10,2,"Life Sciences",1,"Female",1,"Sales Executive","Divorced",46170,1,"Y",11,8,0,25,2,25,3,9,1,2,3,3,3,7.415638,33.60168301,14
134,40,"No","Travel_Rarely","Sales",6,2,"Life Sciences",1,"Female",1,"Laboratory Technician","Married",26470,6,"Y",13,8,0,20,2,1,0,0,2,3,3,2,3,7.495338,34.23993464,11
135,54,"No","Travel_Rarely","Human Resources",9,3,"Life Sciences",1,"Female",2,"Manufacturing Director","Married",63230,4,"Y",23,8,1,24,2,4,1,2,1,1,2,2,4,5.99897,26.23440632,22
